Date,Adj Close,2-year,5-year,10-year,T10Y2Y,VIXCLS,UNRATE,CPIAUCSL,FEDFUNDS,GDP
2013-09-30,14.860149383544922,0.33,1.39,2.64,2.31,16.6,7.2,233.66483333333335,0.08966666666666666,17189.430076086956
2013-10-01,15.209551811218262,0.33,1.42,2.66,2.33,15.54,7.2,233.669,0.09,17192.019
2013-10-02,15.259428977966309,0.31,1.38,2.63,2.32,16.6,7.190322580645161,233.68290322580646,0.08967741935483871,17192.08116304348
2013-10-03,15.06773567199707,0.33,1.36,2.62,2.29,17.67,7.180645161290323,233.6968064516129,0.08935483870967742,17192.143326086956
2013-10-04,15.055886268615723,0.33,1.41,2.66,2.33,16.74,7.170967741935484,233.71070967741937,0.08903225806451613,17192.205489130436
2013-10-07,15.203012466430664,0.37,1.41,2.65,2.28,19.41,7.141935483870968,233.7524193548387,0.08806451612903225,17192.39197826087
2013-10-08,14.99074935913086,0.4,1.43,2.66,2.26,20.34,7.1322580645161295,233.76632258064518,0.08774193548387096,17192.454141304348
2013-10-09,15.166854858398438,0.37,1.43,2.68,2.31,19.6,7.122580645161291,233.78022580645163,0.08741935483870968,17192.516304347828
2013-10-10,15.261919975280762,0.35,1.44,2.71,2.36,16.48,7.112903225806452,233.79412903225807,0.08709677419354839,17192.578467391304
2013-10-11,15.360733032226562,0.35,1.42,2.7,2.35,15.72,7.103225806451613,233.80803225806451,0.0867741935483871,17192.640630434784
2013-10-14,15.461406707763672,,,,2.35,16.07,7.074193548387097,233.84974193548388,0.08580645161290322,17192.827119565216
2013-10-15,15.543693542480469,0.37,1.45,2.75,2.38,18.66,7.064516129032258,233.86364516129032,0.08548387096774193,17192.889282608696
2013-10-16,15.619440078735352,0.34,1.41,2.69,2.35,14.71,7.054838709677419,233.87754838709677,0.08516129032258064,17192.951445652176
2013-10-17,15.72509765625,0.33,1.35,2.61,2.28,13.48,7.045161290322581,233.89145161290324,0.08483870967741935,17193.01360869565
2013-10-18,15.86193561553955,0.33,1.35,2.6,2.27,13.04,7.0354838709677425,233.90535483870968,0.08451612903225807,17193.07577173913
2013-10-21,16.250621795654297,0.33,1.38,2.63,2.3,13.16,7.006451612903226,233.94706451612905,0.08354838709677419,17193.262260869567
2013-10-22,16.204185485839844,0.31,1.3,2.54,2.23,13.33,6.996774193548387,233.9609677419355,0.0832258064516129,17193.324423913044
2013-10-23,16.362834930419922,0.31,1.3,2.51,2.2,13.42,6.987096774193549,233.97487096774194,0.08290322580645161,17193.386586956523
2013-10-24,16.579458236694336,0.33,1.32,2.53,2.2,13.2,6.97741935483871,233.98877419354838,0.08258064516129032,17193.44875
2013-10-25,16.39400291442871,0.32,1.3,2.53,2.21,13.09,6.967741935483871,234.00267741935482,0.08225806451612903,17193.51091304348
2013-10-28,16.51619529724121,0.32,1.31,2.54,2.22,13.31,6.9387096774193555,234.0443870967742,0.08129032258064517,17193.697402173915
2013-10-29,16.104745864868164,0.31,1.29,2.53,2.22,13.41,6.929032258064517,234.05829032258063,0.08096774193548387,17193.75956521739
2013-10-30,16.360960006713867,0.33,1.3,2.55,2.22,13.65,6.919354838709678,234.0721935483871,0.08064516129032258,17193.82172826087
2013-10-31,16.292394638061523,0.31,1.31,2.57,2.26,13.75,6.909677419354839,234.08609677419355,0.08032258064516129,17193.883891304347
2013-11-01,16.209171295166016,0.33,1.37,2.65,2.32,13.28,6.9,234.1,0.08,17193.946054347827
2013-11-04,16.418624877929688,0.32,1.36,2.63,2.31,12.93,6.880000000000001,234.1619,0.081,17194.132543478263
2013-11-05,16.378108978271484,0.32,1.39,2.69,2.37,13.27,6.873333333333334,234.18253333333334,0.08133333333333334,17194.19470652174
2013-11-06,16.331703186035156,0.3,1.34,2.67,2.37,12.67,6.866666666666667,234.20316666666668,0.08166666666666667,17194.25686956522
2013-11-07,16.06741714477539,0.29,1.31,2.63,2.34,13.91,6.86,234.22379999999998,0.082,17194.319032608695
2013-11-08,16.320423126220703,0.32,1.42,2.77,2.45,12.9,6.8533333333333335,234.24443333333332,0.08233333333333333,17194.381195652175
2013-11-11,16.273075103759766,,,,2.45,12.53,6.833333333333334,234.30633333333333,0.08333333333333333,17194.56768478261
2013-11-12,16.303178787231445,0.34,1.47,2.8,2.46,12.82,6.826666666666667,234.32696666666666,0.08366666666666667,17194.629847826087
2013-11-13,16.322620391845703,0.32,1.41,2.75,2.43,12.52,6.82,234.3476,0.084,17194.692010869567
2013-11-14,16.558696746826172,0.29,1.34,2.69,2.4,12.37,6.8133333333333335,234.36823333333334,0.08433333333333333,17194.754173913043
2013-11-15,16.459306716918945,0.31,1.36,2.71,2.4,12.19,6.806666666666667,234.38886666666667,0.08466666666666667,17194.816336956523
2013-11-18,16.25991439819336,0.31,1.33,2.67,2.36,13.1,6.786666666666667,234.45076666666665,0.08566666666666667,17195.00282608696
2013-11-19,16.288755416870117,0.29,1.37,2.71,2.42,13.39,6.78,234.4714,0.086,17195.064989130435
2013-11-20,16.146100997924805,0.28,1.39,2.8,2.52,13.4,6.773333333333333,234.49203333333332,0.08633333333333333,17195.127152173915
2013-11-21,16.338607788085938,0.29,1.38,2.79,2.5,12.66,6.766666666666667,234.51266666666666,0.08666666666666667,17195.18931521739
2013-11-22,16.29659080505371,0.31,1.37,2.75,2.44,12.26,6.76,234.5333,0.087,17195.25147826087
