Date,Revenue,Cost of Revenue,Gross Profit,EBITDA,Receivables,Total Current Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Other Long-Term Liabilities,Total Liabilities,Shareholders' Equity,Book Value Per Share,Market Capitalization,Enterprise Value,PS Ratio,PB Ratio,P/OCF Ratio,Share-Based Compensation,Operating Cash Flow,Adj Close
2013-10-28,1054.989010989011,470.1547252747253,584.8052747252747,205.3134065934066,447.39626373626373,4067.3076923076924,102.37087912087911,1661.6043956043957,5727.923076923077,388.7398901098901,1406.4175824175825,4322.483516483517,1.8610989010989012,8818.307692307691,5799.208791208791,2.14989010989011,2.0394505494505495,9.966923076923077,27.982967032967036,164.93813186813185,3.568404197692871
2013-10-29,1055.978021978022,470.75945054945055,585.1905494505494,205.5968131868132,447.1625274725275,4084.6153846153848,102.39175824175824,1661.2087912087911,5744.846153846154,389.69978021978017,1421.8351648351647,4323.9670329670325,1.8621978021978023,8818.615384615385,5796.417582417583,2.1497802197802196,2.038901098901099,9.973846153846155,28.045934065934066,167.55626373626373,3.5730957984924316
2013-10-30,1056.967032967033,471.36417582417585,585.5758241758241,205.8802197802198,446.9287912087912,4101.923076923077,102.41263736263735,1660.8131868131868,5761.7692307692305,390.6596703296703,1437.2527472527472,4325.450549450549,1.8632967032967034,8818.923076923076,5793.626373626374,2.1496703296703297,2.0383516483516484,9.980769230769232,28.1089010989011,170.17439560439558,3.5707499980926514
2013-10-31,1057.956043956044,471.9689010989011,585.9610989010988,206.16362637362639,446.69505494505495,4119.2307692307695,102.43351648351648,1660.4175824175825,5778.692307692308,391.6195604395604,1452.6703296703297,4326.934065934066,1.8643956043956045,8819.23076923077,5790.8351648351645,2.1495604395604393,2.037802197802198,9.987692307692308,28.171868131868134,172.79252747252747,3.563711404800415
2013-11-01,1058.9450549450548,472.5736263736264,586.3463736263736,206.44703296703295,446.4613186813187,4136.538461538462,102.4543956043956,1660.021978021978,5795.615384615385,392.57945054945054,1468.0879120879122,4328.417582417583,1.8654945054945056,8819.538461538461,5788.043956043956,2.1494505494505494,2.0372527472527473,9.994615384615386,28.234835164835168,175.41065934065932,3.5801339149475098
2013-11-04,1061.9120879120878,474.3878021978022,587.5021978021978,207.29725274725274,445.7601098901099,4188.461538461538,102.51703296703296,1658.8351648351647,5846.384615384615,395.45912087912086,1514.3406593406594,4332.868131868132,1.8687912087912089,8820.461538461539,5779.67032967033,2.149120879120879,2.0356043956043957,10.015384615384615,28.423736263736266,183.26505494505494,3.4769060611724854
2013-11-05,1062.901098901099,474.9925274725275,587.8874725274725,207.58065934065934,445.52637362637364,4205.7692307692305,102.53791208791208,1658.4395604395604,5863.307692307692,396.419010989011,1529.7582417582416,4334.351648351649,1.86989010989011,8820.76923076923,5776.879120879121,2.1490109890109887,2.035054945054945,10.022307692307693,28.486703296703297,185.8831868131868,3.4722142219543457
2013-11-06,1063.89010989011,475.59725274725275,588.2727472527472,207.86406593406593,445.2926373626374,4223.076923076923,102.5587912087912,1658.043956043956,5880.2307692307695,397.37890109890105,1545.1758241758241,4335.8351648351645,1.870989010989011,8821.076923076924,5774.087912087912,2.148901098901099,2.0345054945054946,10.02923076923077,28.54967032967033,188.50131868131868,3.4956750869750977
2013-11-07,1064.8791208791208,476.20197802197805,588.6580219780219,208.14747252747253,445.0589010989011,4240.384615384615,102.57967032967032,1657.6483516483515,5897.153846153846,398.3387912087912,1560.5934065934066,4337.318681318681,1.8720879120879121,8821.384615384615,5771.2967032967035,2.148791208791209,2.033956043956044,10.036153846153846,28.612637362637365,191.11945054945053,3.413562059402466
2013-11-08,1065.868131868132,476.8067032967033,589.0432967032966,208.43087912087913,444.82516483516486,4257.692307692308,102.60054945054945,1657.2527472527472,5914.076923076923,399.2986813186813,1576.010989010989,4338.802197802198,1.8731868131868132,8821.692307692309,5768.505494505494,2.1486813186813185,2.0334065934065935,10.043076923076924,28.675604395604395,193.73758241758242,3.6505179405212402
2013-11-11,1068.8351648351647,478.6208791208791,590.1991208791209,209.28109890109891,444.123956043956,4309.615384615385,102.66318681318681,1656.065934065934,5964.846153846154,402.1783516483516,1622.2637362637363,4343.252747252747,1.8764835164835165,8822.615384615385,5760.131868131868,2.1483516483516483,2.031758241758242,10.063846153846155,28.864505494505497,201.591978021978,3.681016206741333
2013-11-12,1069.8241758241759,479.2256043956044,590.5843956043956,209.56450549450548,443.89021978021975,4326.923076923077,102.68406593406593,1655.6703296703297,5981.7692307692305,403.13824175824175,1637.6813186813188,4344.736263736264,1.8775824175824176,8822.923076923076,5757.340659340659,2.1482417582417583,2.0312087912087913,10.070769230769232,28.927472527472528,204.2101098901099,3.6880550384521484
2013-11-13,1070.8131868131868,479.83032967032966,590.9696703296703,209.84791208791208,443.6564835164835,4344.2307692307695,102.70494505494506,1655.2747252747254,5998.692307692308,404.0981318681319,1653.098901098901,4346.219780219781,1.8786813186813187,8823.23076923077,5754.549450549451,2.148131868131868,2.0306593406593407,10.077692307692308,28.99043956043956,206.82824175824175,3.7889368534088135
2013-11-14,1071.8021978021977,480.43505494505496,591.354945054945,210.13131868131867,443.42274725274723,4361.538461538462,102.72582417582417,1654.8791208791208,6015.615384615385,405.05802197802194,1668.5164835164835,4347.7032967032965,1.8797802197802198,8823.538461538461,5751.758241758242,2.148021978021978,2.03010989010989,10.084615384615386,29.053406593406596,209.44637362637363,3.8053598403930664
2013-11-15,1072.7912087912089,481.03978021978025,591.7402197802197,210.41472527472527,443.18901098901097,4378.846153846154,102.74670329670329,1654.4835164835165,6032.538461538462,406.01791208791207,1683.934065934066,4349.186813186813,1.880879120879121,8823.846153846154,5748.9670329670325,2.1479120879120877,2.0295604395604396,10.091538461538462,29.116373626373626,212.06450549450548,3.793628692626953
2013-11-18,1075.7582417582419,482.8539560439561,592.896043956044,211.26494505494506,442.4878021978022,4430.7692307692305,102.80934065934065,1653.2967032967033,6083.307692307692,408.8975824175824,1730.1868131868132,4353.6373626373625,1.8841758241758242,8824.76923076923,5740.593406593407,2.1475824175824174,2.027912087912088,10.112307692307693,29.305274725274728,219.9189010989011,3.7021312713623047
2013-11-19,1076.7472527472528,483.45868131868133,593.2813186813187,211.54835164835166,442.2540659340659,4448.076923076923,102.83021978021978,1652.901098901099,6100.2307692307695,409.8574725274725,1745.6043956043957,4355.120879120879,1.8852747252747253,8825.076923076924,5737.802197802198,2.1474725274725275,2.0273626373626374,10.11923076923077,29.36824175824176,222.53703296703296,3.641982316970825
2013-11-20,1077.7362637362637,484.0634065934066,593.6665934065934,211.83175824175825,442.02032967032966,4465.384615384615,102.8510989010989,1652.5054945054944,6117.153846153846,410.81736263736263,1761.0219780219782,4356.604395604396,1.8863736263736264,8825.384615384615,5735.010989010989,2.1473626373626375,2.026813186813187,10.126153846153846,29.431208791208793,225.15516483516484,3.5877299308776855
2013-11-21,1078.7252747252746,484.66813186813187,594.0518681318681,212.11516483516482,441.7865934065934,4482.692307692308,102.87197802197802,1652.10989010989,6134.076923076923,411.7772527472527,1776.4395604395604,4358.087912087912,1.8874725274725275,8825.692307692309,5732.219780219781,2.147252747252747,2.0262637362637363,10.133076923076924,29.494175824175827,227.7732967032967,3.616034746170044
2013-11-22,1079.7142857142858,485.27285714285716,594.4371428571428,212.39857142857142,441.55285714285714,4500.0,102.89285714285714,1651.7142857142858,6151.0,412.7371428571428,1791.857142857143,4359.571428571428,1.8885714285714286,8826.0,5729.428571428572,2.1471428571428572,2.025714285714286,10.14,29.557142857142857,230.39142857142855,3.580653190612793
2013-11-25,1082.6813186813188,487.087032967033,595.5929670329671,213.2487912087912,440.85164835164835,4551.923076923077,102.9554945054945,1650.5274725274726,6201.7692307692305,415.61681318681315,1838.10989010989,4364.021978021978,1.8918681318681319,8826.923076923076,5721.054945054945,2.146813186813187,2.024065934065934,10.160769230769231,29.746043956043955,238.24582417582417,3.6584930419921875
2013-11-26,1083.6703296703297,487.69175824175824,595.9782417582418,213.5321978021978,440.6179120879121,4569.2307692307695,102.97637362637363,1650.131868131868,6218.692307692308,416.5767032967033,1853.5274725274726,4365.505494505494,1.892967032967033,8827.23076923077,5718.263736263736,2.1467032967032966,2.0235164835164836,10.167692307692308,29.80901098901099,240.86395604395602,3.6891579627990723
