Date,Cash & Equivalents,Short-Term Investments,Cash & Cash Equivalents,Cash Growth,Receivables,Inventory,Other Current Assets,Total Current Assets,"Property, Plant & Equipment",Long-Term Investments,Goodwill and Intangibles,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Accounts Payable,Deferred Revenue,Current Debt,Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Other Long-Term Liabilities,Total Long-Term Liabilities,Total Liabilities,Total Debt,Debt Growth,Common Stock,Retained Earnings,Comprehensive Income,Shareholders' Equity,Net Cash / Debt,Net Cash / Debt Growth,Net Cash Per Share,Working Capital,Book Value Per Share
2023-07-01,28408,34074,166543,-0.0712,39186,7351,13640,122659,43550,104061,0,64768,212379,335038,46699,8158,11209,58897,124963,98071,51730,149801,274764,109280,-0.087,70667,1408.0,-11801.0,60274,57263,-0.0395,3.63,-2304.0,3.84
2023-04-01,24687,31185,166333,-0.13699999999999998,35899,7482,13660,112913,43398,110461,0,65388,219247,332160,42945,8131,12574,56425,120075,97041,52886,149927,270002,109615,-0.0864,69568,4336.0,-11746.0,62158,56718,-0.22039999999999998,3.58,-7162.0,3.94
2022-12-31,20535,30820,165450,-0.1834,54180,6820,16422,128777,42951,114095,0,60924,217970,346747,57918,7992,11483,59893,137286,99627,53107,152734,290020,111110,-0.09519999999999999,66399,3240.0,-12912.0,56727,54340,-0.319,3.41,-8509.0,3.57
2022-09-24,23646,24658,169109,-0.1124,60932,4946,21223,135405,42117,120805,0,54428,217350,352755,64115,7912,21110,60845,153982,98959,49142,148101,302083,120069,-0.0373,64849,-3068.0,-11109.0,50672,49040,-0.2547,3.04,-18577.0,3.16
2022-06-25,27502,20729,179308,-0.07400000000000001,42242,5433,16386,112292,40335,131077,0,52605,224017,336309,48343,7728,24991,48811,129873,94700,53629,148329,278202,119691,-0.0172,62115,5289.0,-9297.0,58107,59617,-0.1703,3.67,-17581.0,3.6
2022-03-26,28098,23413,192730,-0.057,45400,5460,15809,118180,39304,141219,0,51959,232482,350662,52682,7920,16658,50248,127508,103323,52432,155755,283263,119981,-0.0137,61181,12712.0,-6494.0,67399,72749,-0.1206,4.44,-9328.0,4.14
2021-12-25,37119,26794,202596,0.0359,65253,5876,18112,153154,39245,138683,0,50109,228037,381191,74362,7876,16169,49167,147574,106629,55056,161685,309259,122798,0.096,58424,14435.0,-927.0,71932,79798,-0.0447,4.83,5580.0,4.39
2021-09-25,34940,27699,190516,-0.0068000000000000005,51506,6580,14111,134836,39440,127877,0,48849,216166,351002,54763,7612,15613,47493,125481,109106,53325,162431,287912,124719,0.1092,57365,5562.0,163.0,63090,65797,-0.17129999999999998,3.96,9355.0,3.83
2021-06-26,34050,27646,193644,0.0001,33908,5178,13641,114423,38615,131948,0,44854,215417,329840,40409,7681,16039,43625,107754,105752,52054,157806,265560,121791,0.08039999999999999,54989,9233.0,58.0,64280,71853,-0.1118,4.28,6669.0,3.87
2021-03-27,38466,31368,204373,0.059800000000000006,33036,5219,13376,121465,37815,134539,0,43339,215693,337158,40127,7595,13003,45660,106385,108642,52953,161595,267980,121645,0.1108,54203,15261.0,-286.0,69178,82728,-0.0073,4.89,15080.0,4.13
