Date,Net Income,Depreciation & Amortization,Share-Based Compensation,Other Operating Activities,Operating Cash Flow,Operating Cash Flow Growth,Capital Expenditures,Acquisitions,Change in Investments,Other Investing Activities,Investing Cash Flow,Dividends Paid,Share Issuance / Repurchase,Debt Issued / Paid,Other Financing Activities,Financing Cash Flow,Net Cash Flow,Free Cash Flow,Free Cash Flow Growth,Free Cash Flow Margin,Free Cash Flow Per Share
2023-07-01,19881,3052,2617,830.0,26380,0.1524,-2093.0,0.0,3036.0,-506.0,437.0,-3849.0,-17478.0,-283.0,-2438.0,-24048.0,2769.0,24287,0.16820000000000002,0.2969,1.55
2023-04-01,24160,2898,2686,-1184.0,28560,0.013999999999999999,-2916.0,0.0,5341.0,-106.0,2319.0,-3650.0,-19594.0,-1996.0,-484.0,-25724.0,5155.0,25644,-0.0003,0.2704,1.62
2022-12-31,29998,2916,2905,-1814.0,34005,-0.276,-3787.0,0.0,2483.0,-141.0,-1445.0,-3768.0,-19475.0,-9615.0,-2705.0,-35563.0,-3003.0,30218,-0.31579999999999997,0.2579,1.9
2022-09-24,20721,2865,2278,-1737.0,24127,0.19440000000000002,-3289.0,-137.0,2806.0,-597.0,-1217.0,-3703.0,-24428.0,1657.0,-320.0,-26794.0,-3884.0,20838,0.2274,0.23120000000000002,1.3
2022-06-25,19442,2805,2243,-1598.0,22892,0.0852,-2102.0,0.0,6953.0,-617.0,4234.0,-3811.0,-21865.0,971.0,-2740.0,-27445.0,-319.0,20790,0.0942,0.2506,1.29
2022-03-26,25010,2737,2252,-1833.0,28166,0.1745,-2514.0,0.0,-6390.0,-361.0,-9265.0,-3595.0,-22631.0,-1751.0,-374.0,-28351.0,-9450.0,25652,0.1815,0.2637,1.58
2021-12-25,34630,2697,2265,7374.0,46966,0.2116,-2803.0,0.0,-12929.0,-374.0,-16106.0,-3732.0,-20478.0,-1000.0,-2949.0,-28159.0,2701.0,44163,0.25239999999999996,0.3563,2.69
2021-09-25,20551,2989,1945,-5285.0,20200,-0.0183,-3223.0,-20.0,4352.0,-274.0,835.0,-3640.0,-19748.0,3220.0,-214.0,-20382.0,653.0,16977,-0.0966,0.20370000000000002,1.03
2021-06-26,21744,2832,1960,-5442.0,21094,0.2964,-2093.0,-4.0,5747.0,-78.0,3572.0,-3767.0,-22900.0,0.0,-2729.0,-29396.0,-4730.0,19001,0.2921,0.23329999999999998,1.14
2021-03-27,23630,2797,1981,-4427.0,23981,0.8016,-2269.0,-9.0,-7895.0,-195.0,-10368.0,-3447.0,-18548.0,10423.0,246.0,-11326.0,2287.0,21712,0.8948999999999999,0.24239999999999998,1.3
