Date,Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
2023-07-01,81797,-0.013999999999999999,45384,36413,5973,7442,13415,22998,998,-733.0,22733,2852,19881,0.0226,15698,15775,-0.03,1.27,1.26,0.05,24287,1.55,0.24,0.0435,0.44520000000000004,0.2812,0.24309999999999998,0.2969,0.1255,26783,0.3274,3052,23731,0.2901
2023-04-01,94836,-0.025099999999999997,52860,41976,6201,7457,13658,28318,930,-994.0,28382,4222,24160,-0.034,15787,15847,-0.0339,1.53,1.52,0.0,25644,1.62,0.23,0.0455,0.4426,0.2986,0.2548,0.2704,0.14880000000000002,32210,0.3396,2898,29312,0.3091
2022-12-31,117154,-0.0548,66822,50332,6607,7709,14316,36016,1003,-610.0,35623,5625,29998,-0.1338,15893,15956,-0.0341,1.89,1.88,-0.1048,30218,1.9,0.23,0.0455,0.4296,0.3074,0.2561,0.2579,0.15789999999999998,39542,0.3375,2916,36626,0.3126
2022-09-24,90146,0.0814,52051,38095,6440,6761,13201,24894,827,-590.0,24657,3936,20721,0.0083,16030,16118,-0.0311,1.29,1.29,0.048799999999999996,20838,1.3,0.23,0.0455,0.4226,0.2762,0.2299,0.23120000000000002,0.15960000000000002,28349,0.3145,2865,25484,0.2827
2022-06-25,82959,0.0187,47074,35885,6012,6797,12809,23076,719,-709.0,23066,3624,19442,-0.1059,16163,16262,-0.031,1.2,1.2,-0.07690000000000001,20790,1.29,0.23,0.0455,0.4326,0.2782,0.23440000000000003,0.2506,0.15710000000000002,26590,0.32049999999999995,2805,23785,0.2867
2022-03-26,97278,0.0859,54719,42559,6193,6387,12580,29979,691,-851.0,30139,5129,25010,0.0584,16279,16403,-0.0311,1.54,1.52,0.0857,25652,1.58,0.22,0.0732,0.4375,0.30820000000000003,0.2571,0.2637,0.1702,33567,0.34509999999999996,2737,30830,0.3169
2021-12-25,123945,0.11220000000000001,69702,54243,6449,6306,12755,41488,694,-447.0,41241,6611,34630,0.2043,16392,16519,-0.0347,2.11,2.1,0.25,44163,2.69,0.22,0.0732,0.4376,0.3347,0.27940000000000004,0.3563,0.1603,44632,0.3601,2697,41935,0.3383
2021-09-25,83360,0.2884,48186,35174,5616,5772,11388,23786,672,-134.0,23248,2697,20551,0.6215999999999999,16487,16635,-0.036000000000000004,1.25,1.23,0.6622,16977,1.03,0.22,0.0732,0.42200000000000004,0.2853,0.2465,0.20370000000000002,0.11599999999999999,26909,0.32280000000000003,2989,23920,0.2869
2021-06-26,81434,0.3644,46179,35255,5412,5717,11129,24126,665,-908.0,24369,2625,21744,0.9323,16629,16782,-0.0366,1.31,1.3,1.0,19001,1.14,0.22,0.0732,0.4329,0.2963,0.267,0.23329999999999998,0.10769999999999999,27866,0.3422,2832,25034,0.3074
2021-03-27,89584,0.5363,51505,38079,5314,5262,10576,27503,670,-1178.0,28011,4381,23630,1.1006,16753,16929,-0.0391,1.41,1.4,1.1875,21712,1.3,0.205,0.0622,0.4251,0.307,0.2638,0.24239999999999998,0.1564,31478,0.3514,2797,28681,0.32020000000000004
