Date,Cash & Cash Equivalents,Total Current Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Total Long-Term Liabilities,Total Liabilities,Total Debt,Adj Close
2013-09-30,147026.5164835165,73441.18681318681,133958.46153846153,207399.64835164836,43880.21978021978,39835.593406593405,83715.81318681319,16960.021978021978,14.860147476196287
2013-10-01,147159.27472527474,73518.78021978022,134080.6923076923,207599.47252747254,43991.32967032967,39856.89010989011,83848.21978021978,16960.032967032967,15.209556579589844
2013-10-02,147292.03296703298,73596.37362637362,134202.92307692306,207799.2967032967,44102.43956043956,39878.18681318681,83980.62637362638,16960.043956043955,15.259428977966309
2013-10-03,147424.7912087912,73673.96703296703,134325.15384615384,207999.1208791209,44213.54945054945,39899.48351648352,84113.03296703297,16960.054945054944,15.067736625671388
2013-10-04,147557.54945054944,73751.56043956045,134447.38461538462,208198.94505494504,44324.65934065934,39920.78021978022,84245.43956043955,16960.065934065933,15.05589199066162
2013-10-07,147955.82417582418,73984.34065934065,134814.07692307694,208798.41758241758,44657.98901098901,39984.67032967033,84642.65934065935,16960.0989010989,15.203007698059082
2013-10-08,148088.58241758242,74061.93406593407,134936.3076923077,208998.24175824175,44769.0989010989,40005.96703296703,84775.06593406593,16960.10989010989,14.99074649810791
2013-10-09,148221.34065934067,74139.52747252748,135058.53846153847,209198.06593406593,44880.20879120879,40027.26373626374,84907.47252747252,16960.120879120877,15.166852951049805
2013-10-10,148354.0989010989,74217.12087912088,135180.76923076922,209397.8901098901,44991.318681318684,40048.56043956044,85039.87912087912,16960.13186813187,15.261922836303713
2013-10-11,148486.85714285713,74294.71428571429,135303.0,209597.7142857143,45102.42857142857,40069.857142857145,85172.28571428571,16960.14285714286,15.360730171203612
2013-10-14,148885.13186813187,74527.49450549451,135669.6923076923,210197.18681318683,45435.758241758245,40133.74725274725,85569.50549450549,16960.175824175825,15.461402893066406
2013-10-15,149017.8901098901,74605.08791208791,135791.92307692306,210397.01098901097,45546.868131868134,40155.043956043955,85701.91208791209,16960.186813186814,15.543691635131836
2013-10-16,149150.64835164836,74682.68131868132,135914.15384615384,210596.83516483515,45657.97802197802,40176.34065934066,85834.31868131868,16960.197802197803,15.619431495666504
2013-10-17,149283.4065934066,74760.27472527472,136036.38461538462,210796.65934065933,45769.08791208791,40197.63736263736,85966.72527472528,16960.20879120879,15.725105285644531
2013-10-18,149416.16483516485,74837.86813186813,136158.61538461538,210996.4835164835,45880.1978021978,40218.93406593407,86099.13186813187,16960.21978021978,15.861937522888184
2013-10-21,149814.43956043955,75070.64835164836,136525.3076923077,211595.95604395604,46213.52747252747,40282.82417582418,86496.35164835164,16960.252747252747,16.250625610351562
2013-10-22,149947.1978021978,75148.24175824175,136647.53846153847,211795.78021978022,46324.63736263736,40304.12087912088,86628.75824175825,16960.263736263736,16.20418357849121
2013-10-23,150079.95604395604,75225.83516483517,136769.76923076922,211995.6043956044,46435.74725274726,40325.41758241758,86761.16483516483,16960.274725274725,16.362829208374023
