Date,Revenue,Gross Profit,Operating Income,Pretax Income,Net Income,Shares Outstanding (Diluted),EPS (Diluted),Free Cash Flow,EBITDA,EBIT,Adj Close
2013-09-30,37914.241758241755,14046.274725274725,10193.362637362638,10309.285714285714,7634.197802197802,25451.274725274725,0.3048351648351648,7888.241758241758,12183.241758241758,10392.307692307691,14.860147476196287
2013-10-01,38135.36263736264,14133.912087912087,10275.043956043955,10392.42857142857,7695.2967032967035,25448.91208791209,0.30725274725274726,8031.3626373626375,12270.362637362638,10475.461538461539,15.209556579589844
2013-10-02,38356.48351648352,14221.54945054945,10356.725274725275,10475.57142857143,7756.395604395604,25446.54945054945,0.30967032967032965,8174.483516483517,12357.483516483517,10558.615384615385,15.259428977966309
2013-10-03,38577.604395604394,14309.186813186814,10438.406593406593,10558.714285714286,7817.494505494506,25444.186813186814,0.3120879120879121,8317.604395604396,12444.604395604396,10641.76923076923,15.067736625671388
2013-10-04,38798.72527472527,14396.824175824177,10520.087912087913,10641.857142857143,7878.593406593407,25441.824175824175,0.3145054945054945,8460.725274725275,12531.725274725275,10724.923076923076,15.05589199066162
2013-10-07,39462.08791208791,14659.736263736264,10765.131868131868,10891.285714285714,8061.89010989011,25434.736263736264,0.32175824175824175,8890.087912087913,12793.087912087913,10974.384615384615,15.203007698059082
2013-10-08,39683.20879120879,14747.373626373626,10846.813186813186,10974.42857142857,8122.989010989011,25432.373626373625,0.3241758241758242,9033.208791208792,12880.208791208792,11057.538461538461,14.99074649810791
2013-10-09,39904.32967032967,14835.010989010989,10928.494505494506,11057.57142857143,8184.087912087913,25430.01098901099,0.3265934065934066,9176.329670329671,12967.329670329671,11140.692307692309,15.166852951049805
2013-10-10,40125.45054945055,14922.648351648351,11010.175824175823,11140.714285714286,8245.186813186814,25427.648351648353,0.329010989010989,9319.45054945055,13054.45054945055,11223.846153846154,15.261922836303713
2013-10-11,40346.57142857143,15010.285714285714,11091.857142857143,11223.857142857143,8306.285714285714,25425.285714285714,0.3314285714285714,9462.57142857143,13141.57142857143,11307.0,15.360730171203612
