Date,Cash & Equivalents,Short-Term Investments,Cash & Cash Equivalents,Cash Growth,Receivables,Inventory,Other Current Assets,Total Current Assets,"Property, Plant & Equipment",Long-Term Investments,Goodwill and Intangibles,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Accounts Payable,Deferred Revenue,Current Debt,Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Other Long-Term Liabilities,Total Long-Term Liabilities,Total Liabilities,Total Debt,Debt Growth,Common Stock,Retained Earnings,Comprehensive Income,Shareholders' Equity,Net Cash / Debt,Net Cash / Debt Growth,Net Cash Per Share,Working Capital,Book Value Per Share,Adj Close
2023-06-30,15296.0,7779.0,23075.0,0.21989999999999998,3447.0,14356.0,2997.0,43875.0,41041.0,184.0,465.0,5026.0,46716.0,90591.0,15273.0,5197.0,1459.0,5663.0,27592.0,872.0,9945.0,10817.0,38409.0,2331.0,-0.4738,33439.0,18101.0,-410.0,51130.0,20744.0,0.4321,6.54,16283.0,16.12,261.7699890136719
2023-03-31,16048.0,6354.0,22402.0,0.2437,2993.0,14375.0,3227.0,42997.0,38669.0,184.0,399.0,4584.0,43836.0,86833.0,15904.0,4661.0,1404.0,5467.0,27436.0,1272.0,8890.0,10162.0,37598.0,2676.0,-0.4439,32881.0,15398.0,-225.0,48054.0,19726.0,0.4943,6.23,15561.0,15.18,207.4600067138672
2022-12-31,16253.0,5932.0,22185.0,0.2529,2952.0,12839.0,2941.0,40917.0,36635.0,184.0,409.0,4193.0,41421.0,82338.0,15255.0,4551.0,1502.0,5401.0,26709.0,1597.0,8134.0,9731.0,36440.0,3099.0,-0.5465,32180.0,12885.0,-361.0,44704.0,19086.0,0.7554000000000001,6.04,14208.0,14.15,
2022-09-30,19532.0,1575.0,21107.0,0.3114,2192.0,10327.0,2364.0,35990.0,34563.0,218.0,419.0,3236.0,38436.0,74426.0,13897.0,4193.0,1457.0,5064.0,24611.0,2096.0,6595.0,8691.0,33302.0,3553.0,-0.5643,31595.0,9198.0,-942.0,39851.0,17554.0,1.2106000000000001,5.58,11379.0,12.67,265.25
2022-06-30,18324.0,591.0,18915.0,0.1655,2081.0,8108.0,2118.0,31222.0,33684.0,218.0,437.0,2952.0,37291.0,68513.0,11212.0,4068.0,1532.0,5009.0,21821.0,2898.0,6136.0,9034.0,30855.0,4430.0,-0.5288,30945.0,5908.0,-477.0,36376.0,14485.0,1.1214,4.66,9401.0,11.69,224.47332763671875
2022-03-31,17505.0,508.0,18013.0,0.0509,2311.0,6691.0,2035.0,29050.0,32639.0,1261.0,454.0,2634.0,36988.0,66038.0,11171.0,3779.0,1659.0,4846.0,21455.0,3153.0,6024.0,9177.0,30632.0,4812.0,-0.5574,30486.0,3649.0,-50.0,34085.0,13201.0,1.1058,4.25,7595.0,10.98,359.20001220703125
2021-12-31,17576.0,131.0,17707.0,-0.08650000000000001,1913.0,5757.0,1723.0,27100.0,31176.0,1260.0,457.0,2138.0,35031.0,62131.0,10025.0,3499.0,1589.0,4592.0,19705.0,5245.0,5598.0,10843.0,30548.0,6834.0,-0.4178,29806.0,329.0,54.0,30189.0,10873.0,0.42219999999999996,3.57,7395.0,9.92,352.260009765625
2021-09-30,16065.0,30.0,16095.0,0.1076,1962.0,5199.0,1746.0,25002.0,29248.0,1260.0,470.0,1854.0,32832.0,57834.0,8260.0,3166.0,1716.0,4909.0,18051.0,6438.0,4851.0,11289.0,29340.0,8154.0,-0.40619999999999995,28923.0,-1990.0,120.0,27053.0,7941.0,8.9511,2.65,6951.0,9.04,258.49334716796875
2021-06-30,16229.0,0.0,16229.0,0.8837999999999999,2129.0,4733.0,1602.0,24693.0,27030.0,1311.0,486.0,1626.0,30453.0,55146.0,7558.0,3011.0,1530.0,4272.0,16371.0,7871.0,4654.0,12525.0,28896.0,9401.0,-0.33509999999999995,28206.0,-3608.0,206.0,24804.0,6828.0,,2.34,8322.0,8.52,226.56666564941406
2021-03-31,17141.0,0.0,17141.0,1.1214,1890.0,4132.0,1542.0,24705.0,24844.0,1331.0,505.0,1587.0,28267.0,52972.0,6648.0,2886.0,1819.0,3524.0,14877.0,9053.0,4577.0,13630.0,28507.0,10872.0,-0.22030000000000002,27624.0,-4750.0,143.0,23017.0,6269.0,,2.17,9828.0,7.98,222.64332580566406
