Date,Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Operating Cash Flow,Free Cash Flow,Free Cash Flow Growth,Free Cash Flow Per Share,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin,Adj Close
2023-06-30,24927.0,0.47200000000000003,20394.0,4533.0,1191.0,943.0,0.0,2134.0,2399.0,28.0,-655.0,3026.0,323.0,2703.0,0.19649999999999998,3171.0,3171.0,0.019299999999999998,0.85,0.78,0.2,3065.0,1005.0,0.6184000000000001,0.32,0.1819,0.0962,0.1084,0.0403,0.1067,4208.0,0.16879999999999998,1154.0,3054.0,0.1225,261.7699890136719
2023-03-31,23329.0,0.2438,18818.0,4511.0,1076.0,771.0,0.0,1847.0,2664.0,29.0,-139.0,2774.0,261.0,2513.0,-0.2426,3166.0,3166.0,0.0203,0.8,0.73,-0.2316,2513.0,440.0,-0.8020999999999999,0.14,0.1934,0.1142,0.10769999999999999,0.0189,0.0941,3849.0,0.165,1046.0,2803.0,0.1202,207.4600067138672
2022-12-31,24318.0,0.3724,18541.0,5777.0,1032.0,810.0,34.0,1876.0,3901.0,33.0,-95.0,3963.0,276.0,3687.0,0.5885,3160.0,3160.0,0.0384,1.18,1.07,0.5735,3278.0,1420.0,-0.4875,0.45,0.2376,0.1604,0.1516,0.0584,0.0696,4985.0,0.205,989.0,3996.0,0.1643,
2022-09-30,21454.0,0.5595,16072.0,5382.0,961.0,733.0,0.0,1694.0,3688.0,53.0,38.0,3597.0,305.0,3292.0,1.0346,3146.0,3146.0,0.051100000000000007,1.05,0.95,0.9792000000000001,5100.0,3297.0,1.4938999999999998,1.05,0.2509,0.17190000000000003,0.1534,0.1537,0.0848,4606.0,0.2147,956.0,3650.0,0.17010000000000003,265.25
2022-06-30,16934.0,0.41609999999999997,12700.0,4234.0,961.0,667.0,142.0,1770.0,2464.0,44.0,-44.0,2464.0,205.0,2259.0,0.9781,3111.0,3111.0,0.068,0.73,0.65,0.9118,2351.0,621.0,0.0197,0.2,0.25,0.14550000000000002,0.1334,0.036699999999999997,0.0832,3430.0,0.2026,922.0,2508.0,0.1481,224.47332763671875
2022-03-31,18756.0,0.8054000000000001,13296.0,5460.0,992.0,865.0,0.0,1857.0,3603.0,61.0,-122.0,3664.0,346.0,3318.0,6.5752999999999995,3103.0,3103.0,0.07629999999999999,1.07,0.95,6.3077,3995.0,2223.0,6.9110000000000005,0.72,0.29109999999999997,0.19210000000000002,0.1769,0.1185,0.0944,4605.0,0.2455,880.0,3725.0,0.1986,359.20001220703125
2021-12-31,17719.0,0.6492,12872.0,4847.0,1494.0,740.0,0.0,2234.0,2613.0,71.0,-71.0,2613.0,292.0,2321.0,7.5963,3043.0,3043.0,0.0681,0.78,0.68,7.8312,4585.0,2771.0,0.4938,0.91,0.2735,0.1475,0.131,0.1564,0.1117,3532.0,0.1993,848.0,2684.0,0.1515,352.260009765625
2021-09-30,13757.0,0.5685,10097.0,3660.0,994.0,611.0,51.0,1656.0,2004.0,126.0,37.0,1841.0,223.0,1618.0,3.8882,2993.0,2993.0,0.0647,0.54,0.48,4.3332999999999995,3147.0,1322.0,-0.041299999999999996,0.44,0.266,0.1457,0.1176,0.09609999999999999,0.1211,2728.0,0.19829999999999998,761.0,1967.0,0.14300000000000002,258.49334716796875
2021-06-30,11958.0,0.9811,9074.0,2884.0,973.0,576.0,23.0,1572.0,1312.0,75.0,-20.0,1257.0,115.0,1142.0,9.9808,2913.0,2913.0,0.0463,0.39,0.34,9.302999999999999,2124.0,609.0,0.5302,0.21,0.2412,0.1097,0.0955,0.0509,0.0915,2013.0,0.16829999999999998,681.0,1332.0,0.1114,226.56666564941406
2021-03-31,10389.0,0.7358,8174.0,2215.0,1056.0,666.0,-101.0,1621.0,594.0,99.0,-12.0,507.0,69.0,438.0,26.375,2883.0,2883.0,0.050300000000000004,0.15,0.13,17.5714,1641.0,281.0,,0.1,0.2132,0.0572,0.042199999999999994,0.027000000000000003,0.1361,1227.0,0.11810000000000001,621.0,606.0,0.0583,222.64332580566406
2020-12-31,10744.0,0.455,8678.0,2066.0,969.0,522.0,0.0,1491.0,575.0,246.0,-24.0,353.0,83.0,270.0,1.5714,2849.0,2849.0,0.0528,0.1,0.08,0.7907,3019.0,1855.0,0.9006000000000001,0.65,0.1923,0.0535,0.025099999999999997,0.1727,0.2351,1217.0,0.1133,618.0,599.0,0.0558,235.22332763671875
2020-09-30,8771.0,0.39159999999999995,6708.0,2063.0,888.0,366.0,0.0,1254.0,809.0,163.0,129.0,517.0,186.0,331.0,1.3147,2811.0,2811.0,0.0446,0.11,0.09,0.6981,2400.0,1379.0,2.9855,0.49,0.2352,0.0922,0.0377,0.1572,0.35979999999999995,1264.0,0.1441,584.0,680.0,0.0775,143.00332641601562
2020-06-30,6036.0,-0.049400000000000006,4769.0,1267.0,661.0,279.0,0.0,940.0,327.0,170.0,32.0,125.0,21.0,104.0,,2784.0,2784.0,0.048600000000000004,0.04,0.03,,964.0,398.0,-0.3322,0.14,0.20989999999999998,0.0542,0.0172,0.0659,0.168,862.0,0.14279999999999998,567.0,295.0,0.0489,71.98733520507812
2020-03-31,5985.0,0.318,4751.0,1234.0,627.0,324.0,0.0,951.0,283.0,169.0,96.0,18.0,2.0,16.0,,2745.0,2745.0,0.057800000000000004,0.01,0.01,,-440.0,-921.0,,-0.34,0.20620000000000002,0.0473,0.0027,-0.1539,0.11109999999999999,740.0,0.12359999999999999,553.0,187.0,0.031200000000000002,34.93333435058594
2019-12-31,7384.0,0.0219,5993.0,1391.0,699.0,345.0,-12.0,1032.0,359.0,170.0,42.0,147.0,42.0,105.0,-0.25,2706.0,2706.0,0.0464,0.04,0.04,-0.24559999999999998,1425.0,976.0,0.10779999999999999,0.36,0.1884,0.048600000000000004,0.014199999999999999,0.1322,0.2857,894.0,0.1211,577.0,317.0,0.0429,27.8886661529541
2019-09-30,6303.0,-0.07629999999999999,5112.0,1191.0,596.0,334.0,0.0,930.0,261.0,185.0,-93.0,169.0,26.0,143.0,-0.5402,2691.0,2691.0,0.049100000000000005,0.05,0.05,-0.547,756.0,346.0,-0.5841,0.13,0.18899999999999997,0.0414,0.0227,0.054900000000000004,0.15380000000000002,884.0,0.14029999999999998,530.0,354.0,0.0562,16.058000564575195
2019-06-30,6350.0,0.5866,5429.0,921.0,647.0,324.0,117.0,1088.0,-167.0,172.0,50.0,-389.0,19.0,-408.0,,2655.0,2655.0,0.0412,-0.15,-0.15,,864.0,596.0,,0.22,0.145,-0.0263,-0.0643,0.09390000000000001,,362.0,0.057,579.0,-217.0,-0.0342,
