날짜,BPS,PER,PBR,EPS,DIV,DPS
2020-01-02,35342,8.54,1.56,6461,2.57,1416
2020-01-03,35342,8.59,1.57,6461,2.55,1416
2020-01-06,35342,8.59,1.57,6461,2.55,1416
2020-01-07,35342,8.64,1.58,6461,2.54,1416
2020-01-08,35342,8.79,1.61,6461,2.49,1416
2020-01-09,35342,9.07,1.66,6461,2.42,1416
2020-01-10,35342,9.21,1.68,6461,2.38,1416
2020-01-13,35342,9.29,1.7,6461,2.36,1416
2020-01-14,35342,9.29,1.7,6461,2.36,1416
2020-01-15,35342,9.13,1.67,6461,2.4,1416
2020-01-16,35342,9.39,1.72,6461,2.33,1416
2020-01-17,35342,9.49,1.73,6461,2.31,1416
2020-01-20,35342,9.66,1.77,6461,2.27,1416
2020-01-21,35342,9.5,1.74,6461,2.31,1416
2020-01-22,35342,9.64,1.76,6461,2.27,1416
2020-01-23,35342,9.41,1.72,6461,2.33,1416
2020-01-28,35342,9.1,1.66,6461,2.41,1416
2020-01-29,35342,9.15,1.67,6461,2.4,1416
2020-01-30,35342,8.85,1.62,6461,2.48,1416
2020-01-31,35342,8.73,1.6,6461,2.51,1416
2020-02-03,35342,8.85,1.62,6461,2.48,1416
2020-02-04,35342,9.12,1.67,6461,2.4,1416
2020-02-05,35342,9.21,1.68,6461,2.38,1416
2020-02-06,35342,9.46,1.73,6461,2.32,1416
2020-02-07,35342,9.35,1.71,6461,2.34,1416
2020-02-10,35342,9.24,1.69,6461,2.37,1416
2020-02-11,35342,9.27,1.69,6461,2.36,1416
2020-02-12,35342,9.36,1.71,6461,2.34,1416
2020-02-13,35342,9.39,1.72,6461,2.33,1416
2020-02-14,35342,9.57,1.75,6461,2.29,1416
2020-02-17,35342,9.52,1.74,6461,2.3,1416
2020-02-18,35342,9.26,1.69,6461,2.37,1416
2020-02-19,35342,9.32,1.7,6461,2.35,1416
2020-02-20,35342,9.29,1.7,6461,2.36,1416
2020-02-21,35342,9.16,1.68,6461,2.39,1416
2020-02-24,35342,8.79,1.61,6461,2.49,1416
2020-02-25,35342,8.96,1.64,6461,2.45,1416
2020-02-26,35342,8.74,1.6,6461,2.51,1416
2020-02-27,35342,8.65,1.58,6461,2.53,1416
2020-02-28,35342,8.39,1.53,6461,2.61,1416
2020-03-02,35342,8.51,1.56,6461,2.57,1416
2020-03-03,35342,8.57,1.57,6461,2.56,1416
2020-03-04,35342,8.88,1.62,6461,2.47,1416
2020-03-05,35342,8.95,1.64,6461,2.45,1416
2020-03-06,35342,8.74,1.6,6461,2.51,1416
2020-03-09,35342,8.39,1.53,6461,2.61,1416
2020-03-10,35342,8.45,1.54,6461,2.59,1416
2020-03-11,35342,8.06,1.47,6461,2.72,1416
2020-03-12,35342,7.86,1.44,6461,2.79,1416
2020-03-13,35342,7.73,1.41,6461,2.83,1416
2020-03-16,35342,7.57,1.38,6461,2.9,1416
