,Date,Open,High,Low,Close,Volume,Change,BPS,PER,PBR,EPS,DIV,DPS
0,2020-01-02,55500,56000,55000,55200,12993228,-0.010752688172043,35342,8.54,1.56,6461,2.57,1416
1,2020-01-03,56000,56600,54900,55500,15422255,0.0054347826086955,35342,8.59,1.57,6461,2.55,1416
2,2020-01-06,54900,55600,54600,55500,10278951,0.0,35342,8.59,1.57,6461,2.55,1416
3,2020-01-07,55700,56400,55600,55800,10009778,0.0054054054054053,35342,8.64,1.58,6461,2.54,1416
4,2020-01-08,56200,57400,55900,56800,23501171,0.017921146953405,35342,8.79,1.61,6461,2.49,1416
5,2020-01-09,58400,58600,57400,58600,24102579,0.0316901408450704,35342,9.07,1.66,6461,2.42,1416
6,2020-01-10,58800,59700,58300,59500,16000170,0.0153583617747439,35342,9.21,1.68,6461,2.38,1416
7,2020-01-13,59600,60000,59100,60000,11359139,0.0084033613445377,35342,9.29,1.7,6461,2.36,1416
8,2020-01-14,60400,61000,59900,60000,16906295,0.0,35342,9.29,1.7,6461,2.36,1416
9,2020-01-15,59500,59600,58900,59000,14300928,-0.0166666666666667,35342,9.13,1.67,6461,2.4,1416
10,2020-01-16,59100,60700,59000,60700,14381774,0.028813559322034,35342,9.39,1.72,6461,2.33,1416
11,2020-01-17,61900,62000,61000,61300,16025661,0.0098846787479407,35342,9.49,1.73,6461,2.31,1416
12,2020-01-20,62000,62800,61700,62400,12528855,0.0179445350734095,35342,9.66,1.77,6461,2.27,1416
13,2020-01-21,62000,62400,61200,61400,11142693,-0.016025641025641,35342,9.5,1.74,6461,2.31,1416
14,2020-01-22,60500,62600,60400,62300,15339565,0.014657980456026,35342,9.64,1.76,6461,2.27,1416
15,2020-01-23,61800,61800,60700,60800,14916555,-0.0240770465489567,35342,9.41,1.72,6461,2.33,1416
16,2020-01-28,59400,59400,58300,58800,23664541,-0.0328947368421053,35342,9.1,1.66,6461,2.41,1416
17,2020-01-29,59100,59700,58800,59100,16446102,0.0051020408163264,35342,9.15,1.67,6461,2.4,1416
18,2020-01-30,58800,58800,56800,57200,20821939,-0.0321489001692046,35342,8.85,1.62,6461,2.48,1416
19,2020-01-31,57800,58400,56400,56400,19749457,-0.0139860139860139,35342,8.73,1.6,6461,2.51,1416
20,2020-02-03,55500,57400,55200,57200,23995260,0.0141843971631205,35342,8.85,1.62,6461,2.48,1416
