Date,Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
2023-07-01,81797,-1.40%,45384,36413,5973,7442,13415,22998,998,-733,22733,2852,19881,2.26%,15698,15775,-3.00%,1.27,1.26,5.00%,1.55,0.240,4.35%,44.52%,28.12%,24.31%,29.69%,12.55%,26783,32.74%,3052,23731,29.01%
2023-04-01,94836,-2.51%,52860,41976,6201,7457,13658,28318,930,-994,28382,4222,24160,-3.40%,15787,15847,-3.39%,1.53,1.52,0%,1.62,0.230,4.55%,44.26%,29.86%,25.48%,27.04%,14.88%,32210,33.96%,2898,29312,30.91%
2022-12-31,117154,-5.48%,66822,50332,6607,7709,14316,36016,1003,-610,35623,5625,29998,-13.38%,15893,15956,-3.41%,1.89,1.88,-10.48%,1.90,0.230,4.55%,42.96%,30.74%,25.61%,25.79%,15.79%,39542,33.75%,2916,36626,31.26%
2022-09-24,90146,8.14%,52051,38095,6440,6761,13201,24894,827,-590,24657,3936,20721,0.83%,16030,16118,-3.11%,1.29,1.29,4.88%,1.30,0.230,4.55%,42.26%,27.62%,22.99%,23.12%,15.96%,28349,31.45%,2865,25484,28.27%
2022-06-25,82959,1.87%,47074,35885,6012,6797,12809,23076,719,-709,23066,3624,19442,-10.59%,16163,16262,-3.10%,1.20,1.20,-7.69%,1.29,0.230,4.55%,43.26%,27.82%,23.44%,25.06%,15.71%,26590,32.05%,2805,23785,28.67%
2022-03-26,97278,8.59%,54719,42559,6193,6387,12580,29979,691,-851,30139,5129,25010,5.84%,16279,16403,-3.11%,1.54,1.52,8.57%,1.58,0.220,7.32%,43.75%,30.82%,25.71%,26.37%,17.02%,33567,34.51%,2737,30830,31.69%
2021-12-25,123945,11.22%,69702,54243,6449,6306,12755,41488,694,-447,41241,6611,34630,20.43%,16392,16519,-3.47%,2.11,2.10,25.00%,2.69,0.220,7.32%,43.76%,33.47%,27.94%,35.63%,16.03%,44632,36.01%,2697,41935,33.83%
2021-09-25,83360,28.84%,48186,35174,5616,5772,11388,23786,672,-134,23248,2697,20551,62.16%,16487,16635,-3.60%,1.25,1.23,66.22%,1.03,0.220,7.32%,42.20%,28.53%,24.65%,20.37%,11.60%,26909,32.28%,2989,23920,28.69%
2021-06-26,81434,36.44%,46179,35255,5412,5717,11129,24126,665,-908,24369,2625,21744,93.23%,16629,16782,-3.66%,1.31,1.30,100.00%,1.14,0.220,7.32%,43.29%,29.63%,26.70%,23.33%,10.77%,27866,34.22%,2832,25034,30.74%
2021-03-27,89584,53.63%,51505,38079,5314,5262,10576,27503,670,-1178,28011,4381,23630,110.06%,16753,16929,-3.91%,1.41,1.40,118.75%,1.30,0.205,6.22%,42.51%,30.70%,26.38%,24.24%,15.64%,31478,35.14%,2797,28681,32.02%
2020-12-26,111439,21.37%,67111,44328,5631,5163,10794,33534,638,-683,33579,4824,28755,29.32%,16935,17114,-3.96%,1.70,1.68,34.40%,2.08,0.205,6.22%,39.78%,30.09%,25.80%,31.64%,14.37%,36883,33.10%,2666,34217,30.70%
2020-09-26,64698,1.03%,40009,24689,4936,4978,9914,14775,634,-760,14901,2228,12673,-7.40%,17058,17257,-4.56%,0.75,0.74,-1.99%,1.10,0.205,6.22%,38.16%,22.84%,19.59%,29.05%,14.95%,18237,28.19%,2702,15535,24.01%
2020-06-27,59685,10.92%,37005,22680,4831,4758,9589,13091,697,-743,13137,1884,11253,12.04%,17250,17419,-5.36%,0.65,0.65,19.27%,0.85,0.205,6.22%,38.00%,21.93%,18.85%,24.64%,14.34%,16586,27.79%,2752,13834,23.18%
2020-03-28,58313,0.51%,35943,22370,4952,4565,9517,12853,757,-1039,13135,1886,11249,-2.70%,17440,17619,-6.30%,0.64,0.64,4.07%,0.66,0.193,6.04%,38.36%,22.04%,19.29%,19.65%,14.36%,16678,28.60%,2786,13892,23.82%
2019-12-28,91819,8.91%,56602,35217,5197,4451,9648,25569,785,-1134,25918,3682,22236,11.37%,17660,17818,-6.68%,1.26,1.25,19.62%,1.61,0.193,6.04%,38.35%,27.85%,24.22%,30.94%,14.21%,29519,32.15%,2816,26703,29.08%
2019-09-28,64040,1.81%,39727,24313,4578,4110,8688,15625,810,-1312,16127,2441,13686,-3.11%,17963,18081,-6.75%,0.76,0.76,3.14%,0.95,0.193,6.04%,37.97%,24.40%,21.37%,26.75%,15.14%,20116,31.41%,3179,16937,26.45%
2019-06-29,53809,1.02%,33582,20227,4426,4257,8683,11544,866,-1233,11911,1867,10044,-12.80%,18283,18406,-6.60%,0.55,0.55,-6.84%,0.53,0.193,6.04%,37.59%,21.45%,18.67%,17.91%,15.67%,15710,29.20%,2933,12777,23.75%
2019-03-30,58015,-5.11%,36194,21821,4458,3948,8406,13415,1010,-1388,13793,2232,11561,-16.36%,18696,18803,-7.26%,0.62,0.61,-9.82%,0.47,0.182,15.19%,37.61%,23.12%,19.93%,15.15%,16.18%,17843,30.76%,3040,14803,25.52%
2018-12-29,84310,-4.51%,52279,32031,4783,3902,8685,23346,890,-1450,23906,3941,19965,-0.50%,18943,19093,-7.46%,1.05,1.04,7.40%,1.23,0.182,15.19%,37.99%,27.69%,23.68%,27.68%,16.49%,28191,33.44%,3395,24796,29.41%
2018-09-29,62900,19.63%,38816,24084,4216,3750,7966,16118,868,-1171,16421,2296,14125,31.84%,19206,19390,-6.48%,0.73,0.73,41.31%,0.86,0.182,15.19%,38.29%,25.62%,22.46%,26.20%,13.98%,20043,31.86%,2754,17289,27.49%
