Quarter Ended,2023-07-01,2023-04-01,2022-12-31,2022-09-24,2022-06-25,2022-03-26,2021-12-25,2021-09-25,2021-06-26,2021-03-27,2020-12-26,2020-09-26,2020-06-27,2020-03-28,2019-12-28,2019-09-28,2019-06-29,2019-03-30,2018-12-29,2018-09-29,2018-06-30,2018-03-31,2017-12-30,2017-09-30,2017-07-01,2017-04-01,2016-12-31,2016-09-24,2016-06-25,2016-03-26,2015-12-26,2015-09-26,2015-06-27,2015-03-28,2014-12-27,2014-09-27,2014-06-28,2014-03-29,2013-12-28,2013-09-28,+82 Quarters
Revenue,81797,94836,117154,90146,82959,97278,123945,83360,81434,89584,111439,64698,59685,58313,91819,64040,53809,58015,84310,62900,53265,61137,88293,52579,45408,52896,78351,46852,42358,50557,75872,51501,49605,58010,74599,42123,37432,45646,57594,37472,Upgrade
Revenue Growth (YoY),-1.40%,-2.51%,-5.48%,8.14%,1.87%,8.59%,11.22%,28.84%,36.44%,53.63%,21.37%,1.03%,10.92%,0.51%,8.91%,1.81%,1.02%,-5.11%,-4.51%,19.63%,17.30%,15.58%,12.69%,12.22%,7.20%,4.63%,3.27%,-9.03%,-14.61%,-12.85%,1.71%,22.26%,32.52%,27.09%,29.53%,12.41%,5.97%,4.69%,5.65%,4.19%,Upgrade
Cost of Revenue,45384,52860,66822,52051,47074,54719,69702,48186,46179,51505,67111,40009,37005,35943,56602,39727,33582,36194,52279,38816,32844,37715,54381,32648,27920,32305,48175,29039,26252,30636,45449,30953,29924,34354,44858,26114,22697,27699,35748,23601,Upgrade
Gross Profit,36413,41976,50332,38095,35885,42559,54243,35174,35255,38079,44328,24689,22680,22370,35217,24313,20227,21821,32031,24084,20421,23422,33912,19931,17488,20591,30176,17813,16106,19921,30423,20548,19681,23656,29741,16009,14735,17947,21846,13871,Upgrade
"Selling, General & Admin",5973,6201,6607,6440,6012,6193,6449,5616,5412,5314,5631,4936,4831,4952,5197,4578,4426,4458,4783,4216,4108,4150,4231,3814,3783,3718,3946,3482,3441,3423,3848,3705,3564,3460,3600,3158,2850,2932,3053,2673,Upgrade
Research & Development,7442,7457,7709,6761,6797,6387,6306,5772,5717,5262,5163,4978,4758,4565,4451,4110,4257,3948,3902,3750,3701,3378,3407,2997,2937,2776,2871,2570,2560,2511,2404,2220,2034,1918,1895,1686,1603,1422,1330,1168,Upgrade
Operating Expenses,13415,13658,14316,13201,12809,12580,12755,11388,11129,10576,10794,9914,9589,9517,9648,8688,8683,8406,8685,7966,7809,7528,7638,6811,6720,6494,6817,6052,6001,5934,6252,5925,5598,5378,5495,4844,4453,4354,4383,3841,Upgrade
Operating Income,22998,28318,36016,24894,23076,29979,41488,23786,24126,27503,33534,14775,13091,12853,25569,15625,11544,13415,23346,16118,12612,15894,26274,13120,10768,14097,23359,11761,10105,13987,24171,14623,14083,18278,24246,11165,10282,13593,17463,10030,Upgrade
Interest Expense / Income,998,930,1003,827,719,691,694,672,665,670,638,634,697,757,785,810,866,1010,890,868,846,792,734,666,602,530,525,450,409,321,276,238,201,163,131,115,100,85,84,83,Upgrade
Other Expense / Income,-733,-994,-610,-590,-709,-851,-447,-134,-908,-1178,-683,-760,-743,-1039,-1134,-1312,-1233,-1388,-1450,-1171,-1518,-1066,-1490,-1463,-1142,-1117,-1346,-877,-773,-476,-678,-677,-591,-449,-301,-422,-302,-310,-330,-196,Upgrade
