Quarter Ended,Current,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,+19 Quarters
Market Capitalization,783944,829681,656425,388972,831153,697670,1113708,1061287,767737,654776,641115,668905,399755,200166,95023,75402,43146,38820,48338,57153,45168,58231,44955,52328,56925,59398,44993,32030,30338,28434,30343,31430,31582,33909,23740,27886,30245,29789,25679,18442,23485,Upgrade
Market Cap Growth,-,18.92%,-41.06%,-63.35%,8.26%,6.55%,73.71%,58.66%,92.05%,227.12%,574.69%,787.12%,826.51%,415.63%,96.58%,31.93%,-4.48%,-33.33%,7.53%,9.22%,-20.65%,-1.97%,-0.08%,63.37%,87.64%,108.90%,48.28%,1.91%,-3.94%,-16.15%,27.81%,12.71%,4.42%,13.83%,-7.55%,51.21%,28.79%,140.12%,491.81%,378.55%,660.75%,Upgrade
Enterprise Value,763200,808937,636699,369886,813599,683185,1100507,1050414,759796,647948,634846,661260,398957,205690,100886,82553,50918,46762,57502,65246,53821,67464,52931,59119,63266,64187,49067,35660,29854,28375,31991,32906,32784,35406,24780,28439,30317,29546,25289,18193,23357,Upgrade
PE Ratio,69.97,68.04,55.86,30.98,74.28,73.32,132.60,192.30,221.38,300.22,560.91,927.75,718.98,543.93,-659.88,-87.47,-52.17,-58.91,-49.91,-58.56,-25.20,-21.39,-19.20,-26.67,-40.45,-77.53,-62.24,-47.46,-34.71,-25.26,-29.84,-35.37,-46.73,-65.12,-59.59,-94.84,-149.23,-178.96,-190.13,-249.16,-159.02,Upgrade
PS Ratio,8.34,8.82,7.63,4.78,11.10,10.39,17.91,19.72,16.39,15.64,17.84,21.21,14.19,7.79,3.65,3.07,1.77,1.56,2.14,2.66,2.58,4.26,3.61,4.45,5.29,5.90,5.26,4.58,5.12,6.22,7.13,7.77,8.34,9.16,6.75,8.72,10.59,12.23,12.39,9.16,13.78,Upgrade
PB Ratio,15.33,16.23,13.66,8.70,20.86,19.18,32.67,35.16,28.38,26.40,27.85,30.10,24.94,20.31,10.36,11.39,7.14,6.79,10.50,11.61,10.02,14.91,10.10,12.35,12.08,11.63,9.02,6.74,11.32,11.28,31.27,29.00,24.02,47.36,28.74,30.59,31.57,31.28,28.16,27.64,41.63,Upgrade
P/FCF Ratio,127.22,134.64,113.61,51.44,93.26,100.57,160.82,212.98,188.77,158.77,163.84,246.74,218.21,250.52,95.31,77.49,49.14,28.46,-1239.84,-258.61,-30.15,-15.03,-10.16,-12.63,-11.68,-18.83,-23.19,-20.48,-34.64,-17.26,-14.67,-14.56,-14.53,-17.94,-15.80,-27.15,-57.33,-156.83,-290.45,31796.00,-163.94,Upgrade
P/OCF Ratio,56.17,59.45,49.57,26.42,51.85,49.56,80.41,92.31,77.31,71.30,79.90,112.55,91.92,74.00,36.48,31.35,19.48,13.62,26.04,27.24,32.91,-182.51,-115.40,-857.83,-55.88,-201.66,803.95,-258.67,103.00,-85.53,-47.24,-59.92,-54.35,-83.58,-95.78,-486.36,185.49,101.64,98.98,69.64,245.68,Upgrade
Debt / Equity Ratio,0.05,0.05,0.06,0.07,0.09,0.12,0.14,0.23,0.30,0.38,0.47,0.53,0.86,1.43,1.52,2.03,2.21,2.28,2.50,2.43,2.61,2.97,2.42,2.43,2.12,1.56,1.64,1.50,1.01,1.30,3.26,2.49,2.04,3.75,3.13,2.73,2.58,2.57,2.41,0.91,1.20,Upgrade
Quick Ratio,0.96,0.96,0.93,0.94,0.95,0.96,0.95,1.00,1.00,1.12,1.28,1.49,1.22,0.82,0.78,0.71,0.66,0.65,0.37,0.48,0.44,0.32,0.40,0.53,0.66,0.55,0.73,0.69,0.86,0.93,0.57,0.49,0.63,0.56,0.80,1.03,1.39,1.77,1.88,1.34,0.73,Upgrade
Current Ratio,1.59,1.59,1.57,1.53,1.46,1.43,1.35,1.38,1.39,1.51,1.66,1.88,1.64,1.25,1.24,1.14,1.08,1.06,0.83,0.83,0.81,0.73,0.74,0.86,1.09,0.97,1.13,1.07,1.27,1.38,1.02,0.99,1.17,1.10,1.33,1.51,1.83,2.18,2.23,1.88,1.04,Upgrade
Interest Coverage,94.43,109.07,96.66,121.09,68.87,57.00,61.07,37.80,15.61,17.76,6.12,2.43,4.17,1.74,1.11,1.86,1.91,-1.26,-3.30,1.93,2.87,-3.30,-3.71,-3.69,-4.29,-1.96,-2.07,-0.69,1.64,-5.24,-5.85,-7.17,-6.78,-6.44,-4.69,-2.62,-1.44,-0.94,-3.12,-1.39,-4.81,Upgrade
Buyback Yield / Dilution,-1.93%,-1.93%,-2.03%,-3.84%,-5.11%,-6.80%,-7.63%,-6.81%,-6.47%,-4.63%,-5.03%,-5.28%,-4.46%,-4.86%,-5.78%,-4.64%,-4.91%,-4.12%,-2.28%,-1.83%,-2.22%,-2.90%,-4.33%,-9.16%,-12.28%,-18.02%,-22.20%,-18.28%,-15.49%,-10.49%,-5.34%,-4.48%,-3.28%,-1.96%,-2.00%,-2.17%,-2.50%,-5.12%,0.64%,-7.93%,-15.45%,Upgrade
Total Shareholder Return,-1.93%,-1.93%,-2.03%,-3.84%,-5.11%,-6.80%,-7.63%,-6.81%,-6.47%,-4.63%,-5.03%,-5.28%,-4.46%,-4.86%,-5.78%,-4.64%,-4.91%,-4.12%,-2.28%,-1.83%,-2.22%,-2.90%,-4.33%,-9.16%,-12.28%,-18.02%,-22.20%,-18.28%,-15.49%,-10.49%,-5.34%,-4.48%,-3.28%,-1.96%,-2.00%,-2.17%,-2.50%,-5.12%,0.64%,-7.93%,-15.45%,Upgrade
