Date,Net Income,Depreciation & Amortization,Share-Based Compensation,Other Operating Activities,Operating Cash Flow,Operating Cash Flow Growth,Capital Expenditures,Acquisitions,Change in Investments,Other Investing Activities,Investing Cash Flow,Dividends Paid,Share Issuance / Repurchase,Debt Issued / Paid,Other Financing Activities,Financing Cash Flow,Exchange Rate Effect,Net Cash Flow,Free Cash Flow,Free Cash Flow Growth,Free Cash Flow Margin,Free Cash Flow Per Share
2023-07-02,1142,364.5,69.2,127.5,1703,34.64%,-632.1,0,135.7,-2.8,-499.2,-607.4,-200.4,-15.8,-5.9,-829.5,-89,285.2,1071,27.28%,11.68%,0.93
2023-04-02,908.3,366.8,74.1,-581.6,767.6,374.12%,-375.2,0,-219.4,-33.1,-627.7,-609.1,-204,550.6,-13.1,-275.6,21,-114.7,392.4,-,4.50%,0.34
2023-01-01,855.2,342.5,85.2,310.3,1593,-14.84%,-516.8,0,243.6,-6.1,-279.3,-608.3,-145.5,-175,-79,-1007.8,62,368.1,1076,-25.97%,12.35%,0.94
2022-10-02,878.3,1858,64.9,-1701.6,1100,-27.68%,-545.9,59.3,-252.8,-30.6,-770,-562.2,26.1,-25,-3.7,-564.8,-124,-359.1,553.8,-46.57%,6.58%,0.48
2022-07-03,912.9,391.3,57.4,-96.8,1265,-27.68%,-423.5,0,-46,-25.9,-495.4,-561.9,3.7,-804.8,-1.4,-1364.4,-140.9,-735.9,841.3,-40.38%,10.32%,0.73
2022-04-03,674.5,391.3,53.4,-957.3,161.9,-81.68%,-455.1,0,3.6,-28.4,-479.9,-563.2,-461.6,1303,-17.7,260.4,1.6,-56,-293.2,-,-3.84%,-0.26
2022-01-02,815.9,386.4,95.8,572.8,1871,1.92%,-416.8,0,57.2,-41.4,-401,-576,-3479.6,200,-113.6,-3969.2,13,-2486.3,1454,-3.80%,18.06%,1.24
2021-10-03,1764,1627,63.8,-1934,1521,2.01%,-484.3,1175,-5.1,-18.9,666.7,-530.8,54.6,-4.1,-2.8,-483.1,-1.7,1703,1036,-9.52%,12.72%,0.88
2021-06-27,1153,373.3,80,142.2,1749,-,-337.8,0,-27.2,-42.2,-407.2,-530.2,57.2,-13.4,-4.1,-490.5,21.2,872.4,1411,-,18.82%,1.20
2021-03-28,659.4,384.5,76,-236.1,883.8,-,-323.7,0,19.6,-2.4,-306.5,-529.8,31.6,-1211.9,-1.5,-1711.6,-13.1,-1147.4,560.1,-,8.40%,0.48
