Date,Revenue,Revenue Growth (YoY),Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Other Operating Expenses,Operating Expenses,Operating Income,Interest Expense / Income,Other Expense / Income,Pretax Income,Income Tax,Net Income,Net Income Growth,Shares Outstanding (Basic),Shares Outstanding (Diluted),Shares Change,EPS (Basic),EPS (Diluted),EPS Growth,Operating Cash Flow,Free Cash Flow,Free Cash Flow Growth,Free Cash Flow Per Share,Dividend Per Share,Dividend Growth,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,Effective Tax Rate,EBITDA,EBITDA Margin,Depreciation & Amortization,EBIT,EBIT Margin
2023-07-30,13507,101.48%,4045,9462,622,2040,0,2662,6800,65,-246,6981,793,6188,843.29%,2473,2499,-0.68%,2.50,2.48,853.85%,6348,6059,623.89%,2.45,0.040,0%,70.05%,50.34%,45.81%,44.86%,11.36%,7411,54.87%,365,7046,52.17%
2023-04-30,7192,-13.22%,2544,4648,633,1875,0,2508,2140,66,-135,2209,166,2043,26.27%,2470,2490,-1.85%,0.83,0.82,28.13%,2911,2663,94.38%,1.08,0.040,0%,64.63%,29.76%,28.41%,37.03%,7.51%,2659,36.97%,384,2275,31.63%
2023-01-29,6051,-20.83%,2218,3833,625,1952,0,2577,1256,64,-96,1288,-126,1414,-52.91%,2463,2477,-2.63%,0.58,0.57,-51.69%,2248,1739,-36.99%,0.71,0.040,0%,63.34%,20.76%,23.37%,28.74%,-9.78%,1778,29.38%,426,1352,22.34%
2022-10-30,5931,-16.50%,2754,3177,631,1945,0,2576,601,65,-77,613,-67,680,-72.40%,2483,2499,-1.54%,0.27,0.27,-72.16%,392,-138,-,-0.06,0.040,0%,53.57%,10.13%,11.47%,-2.33%,-10.93%,1084,18.28%,406,678,11.43%
2022-07-31,6704,3.03%,3789,2915,592,1824,0,2416,499,65,-41,475,-181,656,-72.37%,2495,2516,-0.63%,0.26,0.26,-72.34%,1270,837,-66.51%,0.34,0.040,0%,43.48%,7.44%,9.79%,12.49%,-38.11%,918,13.69%,378,540,8.05%
2022-05-01,8288,46.41%,2857,5431,592,1618,1353,3563,1868,68,-5,1805,187,1618,-15.38%,2506,2537,0.36%,0.65,0.64,-15.79%,1731,1370,-13.07%,0.55,0.040,0%,65.53%,22.54%,19.52%,16.53%,10.36%,2207,26.63%,334,1873,22.60%
2022-01-30,7643,52.77%,2644,4999,563,1466,0,2029,2970,61,44,2865,-138,3003,106.11%,2505,2544,0.63%,1.20,1.18,103.45%,3033,2760,54.71%,1.10,0.040,0%,65.41%,38.86%,39.29%,36.11%,-4.82%,3235,42.33%,309,2926,38.28%
2021-10-31,7103,50.30%,2472,4631,557,1403,0,1960,2671,62,-29,2638,174,2464,84.43%,2499,2538,0.71%,0.99,0.97,83.02%,1519,1297,60.92%,0.52,0.040,0%,65.20%,37.60%,34.69%,18.26%,6.60%,2998,42.21%,298,2700,38.01%
2021-08-01,6507,68.31%,2292,4215,526,1245,0,1771,2444,60,-10,2394,20,2374,281.67%,2493,2532,1.12%,0.95,0.94,276.00%,2682,2499,85.11%,1.00,0.040,0%,64.78%,37.56%,36.48%,38.40%,0.84%,2740,42.11%,286,2454,37.71%
2021-05-02,5661,83.80%,2032,3629,520,1153,0,1673,1956,53,-141,2044,132,1912,108.51%,2484,2528,1.61%,0.77,0.76,107.08%,1874,1576,109.02%,0.63,0.040,0%,64.11%,34.55%,33.77%,27.84%,6.46%,2378,42.01%,281,2097,37.04%
